city_fips,city_name,st,cty_fips,rucc,cz,pop_2010
4219576,Dormont,Pennsylvania,42003,1,203,8593
4219752,Downingtown,Pennsylvania,42029,1,316,7891
4219784,Doylestown,Pennsylvania,42017,1,316,8380
4219856,Dravosburg,Pennsylvania,42003,1,203,1792
4220136,DuBois,Pennsylvania,42033,4,332,7794
4220144,Duboistown,Pennsylvania,42081,3,358,1205
4220216,Dunbar,Pennsylvania,42051,1,203,1042
4220240,Duncannon,Pennsylvania,42099,2,251,1522
4220248,Duncansville,Pennsylvania,42013,3,420,1233
4220352,Dunmore,Pennsylvania,42069,2,309,14057
4220424,Dupont,Pennsylvania,42079,2,309,2711
4220432,Duquesne,Pennsylvania,42003,1,203,5565
4220512,Duryea,Pennsylvania,42079,2,309,4917
4220776,East Bangor,Pennsylvania,42095,2,231,1172
4220840,East Brady,Pennsylvania,42031,6,215,942
4220992,East Conemaugh,Pennsylvania,42021,3,420,1220
4221200,East Greenville,Pennsylvania,42091,1,316,2951
4221384,East Lansdowne,Pennsylvania,42045,1,316,2668
4221444,East McKeesport,Pennsylvania,42003,1,203,2126
4221712,East Pittsburgh,Pennsylvania,42003,1,203,1822
4221872,East Stroudsburg,Pennsylvania,42089,3,309,9840
4222016,East Washington,Pennsylvania,42125,1,203,2234
4221648,Easton,Pennsylvania,42095,2,231,26800
4222144,Ebensburg,Pennsylvania,42021,3,420,3351
4222296,Eddystone,Pennsylvania,42045,1,316,2410
4222576,Edgeworth,Pennsylvania,42003,1,203,1680
4222672,Edwardsville,Pennsylvania,42079,2,309,4816
4222888,Eldred,Pennsylvania,42083,7,524,825
4222992,Elizabeth,Pennsylvania,42003,1,203,1493
4223016,Elizabethtown,Pennsylvania,42071,2,251,11545
4223024,Elizabethville,Pennsylvania,42043,2,251,1510
4223152,Elkland,Pennsylvania,42117,6,431,1821
4223280,Ellport,Pennsylvania,42073,4,296,1180
4223296,Ellsworth,Pennsylvania,42125,1,203,1027
4223304,Ellwood City,Pennsylvania,42073,4,296,7921
4223584,Emmaus,Pennsylvania,42077,2,231,11211
4223600,Emporium,Pennsylvania,42023,7,524,2073
4223616,Emsworth,Pennsylvania,42003,1,203,2449
4223832,Ephrata,Pennsylvania,42071,2,251,13394
4224000,Erie,Pennsylvania,42049,2,215,101786
4224160,Etna,Pennsylvania,42003,1,203,3451
4224248,Evans City,Pennsylvania,42019,1,203,1833
4224304,Everett,Pennsylvania,42009,6,420,1834
4224336,Everson,Pennsylvania,42129,1,203,793
4224392,Exeter,Pennsylvania,42079,2,309,5652
4224432,Export,Pennsylvania,42129,1,203,917
4224440,Exton,Pennsylvania,42029,1,316,4842
4224536,Fairchance,Pennsylvania,42051,1,203,1975
4225136,Falls Creek,Pennsylvania,42065,7,332,1037
4225360,Farrell,Pennsylvania,42085,2,296,5111
4225680,Ferndale,Pennsylvania,42021,3,420,1636
4226280,Fleetwood,Pennsylvania,42011,2,231,4085
4226296,Flemington,Pennsylvania,42035,4,358,1330
4226408,Folcroft,Pennsylvania,42045,1,316,6606
4226512,Ford City,Pennsylvania,42005,1,203,2991
4226560,Forest City,Pennsylvania,42115,6,169,1911
4226592,Forest Hills,Pennsylvania,42003,1,203,6518
4226880,Forty Fort,Pennsylvania,42079,2,309,4214
4227008,Fountain Hill,Pennsylvania,42095,2,231,4597
4227120,Fox Chapel,Pennsylvania,42003,1,203,5388
4227232,Frackville,Pennsylvania,42107,4,231,3805
4227456,Franklin,Pennsylvania,42121,4,215,6545
4227712,Freedom,Pennsylvania,42007,1,203,1569
4227744,Freeland,Pennsylvania,42079,2,309,3531
4227760,Freemansburg,Pennsylvania,42095,2,231,2636
4227784,Freeport,Pennsylvania,42005,1,203,1813
4228280,Galeton,Pennsylvania,42105,9,524,1149
4228328,Gallitzin,Pennsylvania,42021,3,420,1668
4228720,Geistown,Pennsylvania,42021,3,420,2467
4228960,Gettysburg,Pennsylvania,42001,3,251,7620
